,MAKE,MODEL,TRIM_LEVEL,BODY_TYPE,FUEL_TYPE,TRANSMISSION,NUMBER_OF_DOORS,DRIVEN_WHEELS,ENGINE_SIZE,POWER_TRAIN_TYPE,BATTERY_CAPACITY_KWH,MAX_POWER_HP,MAX_POWER_KW,SECONDARY_VERSION
286,BMW,SERIES 5,BUSINESS DESIGN,saloon,electric,automatic,4 dr,AWD,3.0,PHEV,,,,545E
287,BMW,SERIES 5,BUSINESS,estate,diesel,automatic,5 portes,RWD,2.0,MHEV,,,,518D
288,BMW,SERIES 5,BUSINESS,TOURING,diesel,manual,5 portes,RWD,2.0,,,,,520D
289,BMW,SERIES 5,BUSINESS,saloon,diesel,automatic,4 dr,RWD,3.0,,,,183KW,530D
290,BMW,SERIES 5,LOUNGE,saloon,diesel,automatic,4 dr,AWD,3.0,,,,,530D
291,BMW,SERIES 5,M SPORT EDITION,saloon,electric,automatic,4 dr,AWD,2.0,PHEV,,,,530E
292,BMW,SERIES 5,M SPORT,saloon,diesel,automatic,4 dr,RWD,2.0,,,,,518D
293,BMW,SERIES 5,SE,saloon,diesel,automatic,4 dr,RWD,2.0,MHEV,,,,520D
294,BMW,SERIES 5,SPORT,saloon,diesel,automatic,4 dr,RWD,3.0,,,,,530D
295,BMW,SERIES 6,BUSINESS,hatchback,diesel,automatic,5 portes,AWD,3.0,MHEV,,,,630D
296,BMW,SERIES 6,M SPORT,hatchback,unleaded,automatic,5 portes,AWD,3.0,,,,,640I
297,BMW,SERIES 7,ECCELSA,saloon,diesel,automatic,4 dr,AWD,3.0,,,,,740D
298,BMW,SERIES 7,EXCLUSIVE,saloon,diesel,automatic,4 dr,AWD,3.0,,,,,730LD
299,BMW,SERIES 8,,COUPE,diesel,automatic,2 door,AWD,3.0,MHEV,,,,840D
300,BMW,SERIES 8,M8 COMPETITION,CABRIO,premium unleaded,automatic,2 door,AWD,4.4,,,,,
301,BMW,Serie 1,Business Advantage,hatchback,diesel,manual,5 portes,FWD,,,,,,116d
302,BMW,Serie 1,Business,hatchback,diesel,manual,5 portes,AWD,,,,,,118d
303,BMW,Serie 1,MSport Exterior,hatchback,diesel,automatic,5 portes,AWD,,,,,,120d
304,BMW,Serie 2,,cabriolet,diesel,automatic,2 door,RWD,,,,,,225dA
305,BMW,Serie 2,,coupe,diesel,automatic,2 door,RWD,,MHEV,,,,220d
306,BMW,Serie 2,M Sport,saloon,diesel,automatic,4 dr,FWD,,,,,,220d
307,BMW,Serie 2,Sport,coupe,diesel,manual,2 door,RWD,,,,,,220d
308,BMW,Serie 3,,,,automatico,,,,,,,,320e
309,BMW,Serie 4,M SPORT,coupe,unleaded,automatic,2 door,RWD,,,,,,430i
310,BMW,Serie 5,Business,saloon,diesel,automatic,4 dr,AWD,,,,,,520d
311,BMW,Serie 5,Business,saloon,diesel,automatic,4 dr,AWD,,,,,,530d
312,BMW,Serie 5,Luxury,saloon,diesel,automatic,4 dr,RWD,,MHEV,,,183kW,530d
313,BMW,Serie 5,M Sport,saloon,diesel,automatic,4 dr,AWD,,MHEV,,,,520d
314,BMW,Serie 5,M Sport,saloon,diesel,automatic,4 dr,AWD,,MHEV,,,,520d
315,BMW,Serie 7,,saloon,diesel,automatic,4 dr,AWD,,MHEV,,,,730d
316,BMW,Serie 8,,Cabrio,,Manuale,,xDrive,,,,,,840i
317,BMW,Série 1,,hatchback,unleaded,manual,5 portes,FWD,,,,,,116i
318,BMW,Série 1,M Design,hatchback,unleaded,manual,5 portes,FWD,1.5,,,,,116I
319,BMW,Série 1,M Sport,hatchback,diesel,manual,5 portes,FWD,2.0,,,,,118D
320,BMW,Série 1,Sport,hatchback,diesel,automatic,5 portes,RWD,,,,,,116d
321,BMW,Série 2,Sport,cabriolet,diesel,manual,2 door,RWD,,,,190ch,,220d
322,BMW,X1,,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,,xDrive20d
323,BMW,X1,BUSINESS DESIGN,sports utility vehicle,diesel,manual,5 portes,FWD,1.5,,,,,SDRIVE16D
324,BMW,X1,M Sport,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,,20d
325,BMW,X1,xLine,sports utility vehicle,unleaded,automatic,5 portes,FWD,,,,,,sDrive20i
326,BMW,X2,ADVANTAGE PLUS,sports utility vehicle,unleaded,manual,5 portes,FWD,2.0,,,,,SDRIVE20I
327,BMW,X2,Advantage,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,,18d
328,BMW,X2,BUSINESS DESIGN,sports utility vehicle,premium unleaded,manual,5 portes,FWD,2.0,,,,,20I
329,BMW,X2,GOLDPLAY EDITION,sports utility vehicle,diesel,automatic,5 portes,FWD,2.0,,,,,SDRIVE18D
330,BMW,X2,M SPORT X,sports utility vehicle,diesel,manual,5 portes,AWD,2.0,,,,,XDRIVE18D
331,BMW,X2,M SPORT,sports utility vehicle,diesel,manual,5 portes,AWD,2.0,,,,,XDRIVE18D
332,BMW,X3,,sports utility vehicle,diesel,automatic,5 portes,AWD,2.0,MHEV,,,,XDRIVE20D
333,BMW,X3,LUXURY,sports utility vehicle,unleaded,automatic,5 portes,AWD,2.0,,,,,XDRIVE30I
334,BMW,X3,M Sport,sports utility vehicle,diesel,automatic,5 portes,AWD,,MHEV,,286ch,,xDrive30d
335,BMW,X3,Pro Edition,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,,M40i
336,BMW,X4,,sports utility vehicle,diesel,automatic,5 portes,AWD,,MHEV,,,,M40d
337,BMW,X4,M Sport-X,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,195kW,30d
338,BMW,X4,PRO EDITION,sports utility vehicle,unleaded,automatic,5 portes,AWD,3.0,MHEV,,,,M40I
339,BMW,X5,M Competition,sports utility vehicle,unleaded,automatic,5 portes,AWD,,MHEV,,,,
340,BMW,X5,M SPORT,sports utility vehicle,diesel,automatic,5 portes,AWD,3.0,MHEV,,,,XDRIVE30D
341,BMW,X5,xLine,sports utility vehicle,diesel,automatic,5 portes,AWD,,MHEV,,,,xDrive40d
342,BMW,X6,Business,sports utility vehicle,unleaded,automatic,5 portes,AWD,,,,,,xDrive40i
343,BMW,X7,,sports utility vehicle,diesel,automatic,5 portes,AWD,,,,,,M50d
344,BMW,i7,,saloon,electric,automatic,4 dr,AWD,,BEV,,,,xDrive60
345,,Boxster,,Convertible,,,2Dr,,2.5,,,,,
346,BYD,HAN,EXECUTIVE,saloon,electric,automatic,4 dr,AWD,,BEV,85KWH,,,
347,BYD,Han,Executive,saloon,electric,automatic,4 dr,AWD,,BEV,,,,
348,BYD,Tang,Flagship,sports utility vehicle,electric,automatic,5 portes,AWD,,BEV,,,,
349,,C4,Shine Pack,,BlueHDi,EAT8,,,,,,,,
350,,C4 SPACETOURER,,,,,,,,,,,,
351,CADILLAC,CTS,V FINAL EDITION,saloon,unleaded,automatic,4 dr,RWD,6.2,,,,,
352,CADILLAC,XT4,LAUNCH EDITION,sports utility vehicle,diesel,automatic,5 portes,FWD,2.0,,,,,
353,,Ceed,,,Crdi,,5Dr,,1.6,,,,,
354,CITROEN,BERLINGO,CONTROL,car van,BLUEHDI,manual,3 doors,FWD,1.5,,,,75KW,
355,CITROEN,BERLINGO,CONTROL,car van,electric,automatic,3 doors,FWD,,BEV,50KWH,,100 KW,
356,CITROEN,BERLINGO,DRIVER,car van,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
357,CITROEN,BERLINGO,DRIVER,car van,BLUEHDI,automatic,4 dr,FWD,1.5,,,130HP,,
358,CITROEN,BERLINGO,ENTERPRISE,car van,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
359,CITROEN,BERLINGO,FEEL PACK,mini MPV,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
360,CITROEN,BERLINGO,FEEL PACK,mini MPV,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
361,CITROEN,BERLINGO,FEEL,mini MPV,BLUEHDI,manual,5 portes,FWD,1.5,,,100,,
362,CITROEN,BERLINGO,LIVE,mini MPV,BLUEHDI,manual,5 portes,FWD,1.5,,,130HP,,
363,CITROEN,BERLINGO,SHINE,mini MPV,BLUEHDI,manual,5 portes,FWD,1.5,,,,73KW,
364,CITROEN,BERLINGO,SHINE,mini MPV,BLUEHDI,manual,5 portes,FWD,1.5,,,,75KW,
365,CITROEN,BERLINGO,SHINE,mini MPV,electric,automatic,5 portes,FWD,,BEV,,136BHP,100KW,
366,CITROEN,BERLINGO,WORKER,car van,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
367,CITROEN,BERLINGO,WORKER,car van,BLUEHDI,manual,3 doors,FWD,1.6,,,,73KW,
368,CITROEN,Berlingo,Control,car van,BlueHDi,manual,3 doors,FWD,,,,,,
369,CITROEN,Berlingo,DRIVER,car van,electric,automatic,4 dr,FWD,,BEV,50KWH,,,
370,CITROEN,Berlingo,SHINE,MPV,BlueHDi,manual,5 portes,FWD,,,,,,
371,CITROEN,C1,AIRSCAPE SHINE,micro car,unleaded,manual,5 portes,FWD,1.0,,,,,
372,CITROEN,C1,CITY EDITION,micro car,VTI,manual,5 portes,FWD,1.0,,,,,
373,CITROEN,C1,URBAN RIDE,micro car,unleaded,manual,5 portes,FWD,1.0,,,,,
374,CITROEN,C3 AIRCROSS,ORIGINS,sports utility vehicle,BLUEHDI,manual,5 portes,FWD,1.5,,,,73KW,
375,CITROEN,C3 AIRCROSS,SHINE PACK,sports utility vehicle,PURETECH,automatic,5 portes,FWD,1.2,,,,96KW,
376,CITROEN,C3,ELLE,hatchback,PURETECH,automatic,5 portes,FWD,1.2,,,,81KW,
377,CITROEN,C3,ELLE,hatchback,PURETECH,manual,5 portes,FWD,1.2,,,,81KW,
378,CITROEN,C3,FEEL NAV EDITION,hatchback,PURETEC,manual,5 portes,FWD,1.2,,,,,
379,CITROEN,C3,FEEL NAV,commercial hatch,BLUEHDI,manual,5 portes,FWD,1.5,,,,,
380,CITROEN,C3,FLAIR PLUS,hatchback,BLUEHDI,manual,5 portes,FWD,1.5,,,,,
381,CITROEN,C3,FLAIR,hatchback,PURETECH,manual,5 portes,FWD,1.2,,,,,
382,CITROEN,C3,LIVE,commercial hatch,BLUEHDI,manual,5 portes,FWD,1.5,,,100HP,,
383,CITROEN,C3,ORIGINS,hatchback,PureTech,manual,5 portes,FWD,,,,,,
384,CITROEN,C4 CACTUS,FEEL BUSINESS,hatchback,BLUEHDI,automatic,5 portes,FWD,1.5,,,,,
385,CITROEN,C4 CACTUS,SHINE,hatchback,PURETECH,manual,5 portes,FWD,1.2,,,,81KW,
386,CITROEN,C4,FEEL,hatchback,electric,automatic,5 portes,FWD,,BEV,50KWH,,,
387,CITROEN,C4 SPACETOURER,FEEL,mini MPV,BLUEHDI,manual,5 portes,FWD,1.5,,,,96KW,
388,CITROEN,C4 SPACETOURER,RIP CURL,mini MPV,PURETECH,manual,5 portes,FWD,1.2,,,,96KW,
389,CITROEN,C4 SPACETOURER,SHINE,mini MPV,BLUEHDI,automatic,5 portes,FWD,1.5,,,130,,
390,CITROEN,DISPATCH,X,panel van,BLUEHDI,manual,5 portes,FWD,1.6,,,,,
391,CITROEN,E-Jumpy,Confort,MPV,ëlectric,automatic,4 dr,FWD,,BEV,75 kWh,,,
392,CITROEN,GRAND C4 SPACETOURER,FEEL,MPV,BLUEHDI,automatic,5 portes,FWD,2.0,,,160HP,,
393,CITROEN,Grand C4 Spacetourer,Rip Curl,MPV,PureTech,manual,5 portes,FWD,,,,,,
394,CITROEN,JUMPER,,chassis cab,BLUEHDI,manual,2 door,FWD,2.0,,,160BHP,,
395,CITROEN,JUMPER,,chassis cab,BHDI,manual,2 door,FWD,2.2,,,,103KW,
396,CITROEN,JUMPER,,chassis cab,BHDI,manual,2 door,FWD,2.2,,,,,
397,CITROEN,JUMPER,,drop side,BLUEHDI,manual,2 door,FWD,2.2,,,140BHP,,
398,CITROEN,JUMPER,,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,160BHP,,
399,CITROEN,JUMPER,,panel van,electric,automatic,4 dr,FWD,,BEV,70 KWH,,,
400,CITROEN,JUMPER,BUSINESS,parcel van,BLUEHDI,manual,4 dr,FWD,2.2,,,140HP,,
401,CITROEN,JUMPER,CLUB,panel van,BLUEHDI,manual,4 dr,FWD,2.2,,,,,
402,CITROEN,JUMPER,CONFORT,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
403,CITROEN,JUMPER,PROFI,panel van,diesel,manual,4 dr,FWD,,,,,,
404,CITROEN,JUMPY,ATLANTE,MPV,BLUEHDI,manual,4 dr,FWD,2.0,,,150HP,,
405,CITROEN,JUMPY,CLUB,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
406,CITROEN,JUMPY,CLUB,panel van,ELECTRIC,automatic,4 dr,FWD,,BEV,50KWH,,,
407,CITROEN,JUMPY,CLUB,panel van,electric,automatic,4 dr,FWD,,BEV,50KWH,,,
408,CITROEN,JUMPY,CONFORT,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,90KW,
409,CITROEN,JUMPY,CONTROL,panel van,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
410,CITROEN,JUMPY,CONTROL,panel van,BLUEHDI,manual,4 dr,FWD,2.0,,,,,
411,CITROEN,JUMPY,PACK DRIVER,panel van,electric,automatic,4 dr,FWD,,BEV,75 KWH,,,
412,CITROEN,Jumper,,drop side,BlueHDi,manual,2 door,FWD,,,,,,
413,CITROEN,Jumpy,,panel van,BlueHDi,manual,4 dr,FWD,,,,,,
414,CITROEN,Jumpy,Comfort,panel van,electric,automatic,4 dr,FWD,,BEV,,,50kw,
415,CITROEN,Jumpy,Confort,combi,BlueHDi,manual,4 dr,FWD,,,,120CV,90KW,
416,CITROEN,Jumpy,Confort,panel van,BlueHDi,manual,4 dr,FWD,,,,,,
417,CITROEN,C3,,,,,,,,,,,,
418,CITROEN,RELAY,WORKER,panel van,BLHDI,manual,4 dr,FWD,2.2,,,140HP,,
419,CITROEN,SPACETOURER,BUSINESS,MPV,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
420,CITROEN,SPACETOURER,FEEL,MPV,BLUEHDI,manual,4 dr,FWD,1.5,,,,,
421,CITROEN,SPACETOURER,FEEL,MPV,BLUEHDI,automatic,5 portes,FWD,2.0,,,180,,
422,CITROEN,SPACETOURER,FEEL,MPV,electric,automatic,5 portes,FWD,,BEV,50 KWH,,,
423,CITROEN,SPACETOURER,SHINE,MPV,electric,automatic,5 portes,FWD,,BEV,75 KWH,,,
424,CITROEN,Spacetourer,Feel,MPV,BlueHDi,manual,5 portes,FWD,,,,140CV,103KW,
425,CITROEN,Spacetourer,Shine,MPV,ëlectric,automatic,5 portes,FWD,,BEV,75 kWh,,,
426,CITROEN,Ë-C4,Shine Pack,hatchback,electric,automatic,5 portes,FWD,,BEV,,156 ch,115 kW,
427,,COMPASS,Brooklyn Edition,,,,,4xe,1.3,PHEV,,190ch,,
428,CUPRA,ATECA,,sports utility vehicle,TSI,automatic,5 portes,AWD,2.0,,,,221KW,
429,CUPRA,FORMENTOR,,sports utility vehicle,TSI,automatic,5 portes,AWD,2.0,,,,140KW,
430,CUPRA,FORMENTOR,VZ,sports utility vehicle,electric,automatic,5 portes,FWD,1.4,PHEV,,,180KW,
431,CUPRA,Leon,,hatchback,TDI,automatic,5 portes,FWD,2.0,,,,110kW,
432,CUPRA,Leon,VZ,hatchback,TSI,automatic,5 portes,FWD,2.0,,,,221kW,
433,,CX-5,Homura,,,auto,,2wd,2.2,,,150cv,,
434,,Compass,Limited,,,,,2WD,1.4,,,140cv,,
435,,Corolla,Excel,,,,5dr,,2.0,,,,,
436,,Corsa,F Edition,,,,,,1.2,,,,,
437,,Crossland,Edition,,Benzina,MT5,,,1.2,,,83cv,,
438,,Crossland,GS Line,,,,,,,,,,,
439,DACIA,Dokker,,mini MPV,LPG,manual,5 portes,FWD,1.6,,,100CV,75kW,
440,DACIA,Dokker,Essential,car van,unleaded,manual,4 dr,FWD,,,,,,
441,DACIA,Dokker,Essential,combi,unleaded,manual,4 dr,FWD,1.6,,,100CV,75kW,
442,DACIA,Duster,Access,sports utility vehicle,unleaded,manual,5 portes,FWD,1.6,,,114CV,84kW,
443,DACIA,Duster,Comfort,sports utility vehicle,TCe,manual,5 portes,FWD,1.3,,,130cv,,
444,DACIA,Duster,Extreme,sports utility vehicle,dCi,manual,5 portes,FWD,1.5,,,115cv,,
445,DACIA,Duster,Prestige,sports utility vehicle,TCe,manual,5 portes,AWD,1.3,,,150cv,,
446,DACIA,Duster,Prestige,sports utility vehicle,unleaded,manual,5 portes,FWD,1.6,,,115CV,85kW,
447,DACIA,LODGY,COMFORT,mini MPV,unleaded,manual,5 portes,FWD,1.6,,,,,
448,DACIA,Logan,Essential,estate,unleaded,manual,5 portes,FWD,,,,,,
449,DACIA,SANDERO,STREETWAY COMFORT,hatchback,LPG,manual,5 portes,FWD,0.9,,,,,
450,DACIA,SPRING,CONFORT PLUS,hatchback,electric,automatic,5 portes,FWD,,BEV,27KWH,,,
451,DACIA,Sandero,ESSENTIAL,hatchback,DCI,manual,5 portes,FWD,1.5,,,75cv,,
452,DACIA,Sandero,STEPWAY EXTREME,hatchback,TCe,manual,5 portes,FWD,1.0,,,110CV,,
453,,Discovery Sport,,,Diesel,,5dr,2WD,2.0,,,,,D150
454,DS,DS 3 CROSSBACK,PERFORMANCE LINE+,sports utility vehicle,PURETECH,automatic,5 portes,FWD,1.2,,,,96KW,
455,DS,DS 3 CROSSBACK,SO CHIC,sports utility vehicle,PURETECH,manual,5 portes,FWD,1.2,,,,,
456,DS,DS 3 CROSSBACK,SO CHIC,sports utility vehicle,PURETECH,automatic,5 portes,FWD,1.2,,,130HP,,
457,DS,DS 3 Crossback,BASTILLE,sports utility vehicle,BlueHDi,automatic,5 portes,FWD,,,,,96 kW,
458,DS,DS 3 Crossback,CONNECTED CHIC,sports utility vehicle,BlueHDi,automatic,5 portes,FWD,,,,,96 kW,
459,DS,DS 3 Crossback,PERFORMANCE LINE+,sports utility vehicle,electric,automatic,5 portes,FWD,,BEV,50 kW/h,,,
460,DS,DS 3 Crossback,LOUVRE,sports utility vehicle,BlueHDi,automatic,5 portes,FWD,,,,,96 kW,
461,DS,DS 3 Crossback,Performance Line,sports utility vehicle,PureTech,automatic,5 portes,FWD,,,,155CV,115kW,
462,DS,DS 3,OPERA,sports utility vehicle,PURETECH,automatic,5 portes,FWD,1.2,,,,,
463,DS,DS 3,SPORT CHIC,cabriolet,PURETECH,automatic,2 door,FWD,1.2,,,110HP,,
464,DS,DS 4,ESPRIT DE VOYAGE,hatchback,BLUEHDI,automatic,5 portes,FWD,1.5,,,,,
465,DS,DS 4,Rivoli,,Benzin,Automatikgetriebe,,,,,,,,
466,DS,DS 4,TROCADERO,hatchback,BLUEHDI,automatic,5 portes,FWD,1.5,,,130,,
467,DS,DS 5,Be Chic,hatchback,BlueHDi,automatic,5 portes,FWD,,,,,,
468,DS,DS 7 Crossback,Performance Line,sports utility vehicle,BlueHDi,manual,5 portes,FWD,,,,,,
469,DS,DS 7,Opera Premièr,sports utility vehicle,electric,automatic,5 portes,AWD,,PHEV,,,,
470,,Defender,,,,,,,3.0L,MHEV,,,,D200
471,FERRARI,488,,coupe,unleaded,manual,2 door,RWD,3.9,,,,,
472,FERRARI,F8,TRIBUTO,coupe,premium unleaded,automatic,2 door,RWD,3.9,,,,,
473,FIAT,500,RED,hatchback,unleaded,manual,3 doors,FWD,1.0,MHEV,,,,
474,FIAT,500,,cabriolet,unleaded,manual,2 door,FWD,1.0,MHEV,,,,
475,FIAT,500,CLUB,hatchback,unleaded,manual,3 doors,FWD,1.0,MHEV,,,,
476,FIAT,500,Cult,hatchback,LPG,manual,3 doors,FWD,1.2,,,69cv,,
477,FIAT,500,Dolcevita Plus,hatchback,unleaded,manual,3 doors,FWD,1.0,MHEV,,70hp,,
478,FIAT,500,laPrima,hatchback,electric,automatic,4 dr,FWD,,BEV,,95cv,70kW,
479,FIAT,500,LOUNGE,hatchback,unleaded,manual,3 doors,FWD,1.2,,,,,
480,FIAT,500,Mirror,hatchback,unleaded,manual,3 doors,FWD,0.9,,,85cv,,
481,FIAT,500,MONOTRIM,hatchback,electric,automatic,3 doors,FWD,,BEV,42KWH,,,
482,FIAT,500,PASSION,hatchback,electric,automatic,3 doors,FWD,,BEV,42KWH,,,
483,FIAT,500,POP,hatchback,unleaded,manual,3 doors,FWD,1.0,MHEV,,,,
484,FIAT,500,RED,hatchback,unleaded,manual,3 doors,FWD,1.0,MHEV,,,,
485,FIAT,500,RED,hatchback,unleaded,manual,3 doors,FWD,1.0,MHEV,,,,
486,FIAT,500C,Mirror,cabriolet,unleaded,automatic,2 door,FWD,1.2,,,69 CV,51KW,
487,FIAT,500L,CROSS,mini MPV,MULTIJET,manual,5 portes,FWD,1.6,,,,88KW,
488,FIAT,500L,Cross,mini MPV,Multijet,manual,5 portes,FWD,1.3,,,95cv,,
489,FIAT,500L,Cross,mini MPV,unleaded,manual,5 portes,FWD,1.4,,,95CV,70kW,
490,FIAT,500L,Pop Star,mini MPV,MultiJet,manual,5 portes,FWD,1.3,,,95hp,,
491,FIAT,500L,SPORT,mini MPV,unleaded,manual,5 portes,FWD,1.4,,,,,
492,FIAT,500X,120,sports utility vehicle,Mjet,manual,5 portes,FWD,1.6,,,120cv,,
493,FIAT,500X,500-120th,sports utility vehicle,Multijet,manual,5 portes,FWD,1.6,,,120ch,,
494,FIAT,500X,CITY CROSS,sports utility vehicle,MJET,manual,5 portes,FWD,1.6,,,,,
495,FIAT,500X,CITY CROSS,sports utility vehicle,unleaded,manual,5 portes,FWD,1.0,,,120CH,,
496,FIAT,500X,Cross,sports utility vehicle,Multijet,manual,5 portes,FWD,1.6,,,130ch,,
497,FIAT,500X,ELYSIA,sports utility vehicle,MJET,automatic,5 portes,FWD,1.6,,,120CH,,
498,FIAT,500X,HEY GOOGLE,sports utility vehicle,MJET,manual,5 portes,FWD,1.6,,,130CH,,
499,FIAT,500X,HEY GOOGLE,sports utility vehicle,unleaded,manual,5 portes,FWD,1.0,,,,,
500,FIAT,500X,LOUNGE,sports utility vehicle,MJET,automatic,5 portes,FWD,1.6,,,,,
501,FIAT,500X,Sport,sports utility vehicle,Mjet,manual,5 portes,FWD,1.6,,,130cv,,
502,FIAT,500X,Urban,sports utility vehicle,unleaded,manual,5 portes,FWD,1.6,,,110 CV,81KW,
503,FIAT,500X,YACHT CLUB CAPRI,sports utility vehicle,unleaded,automatic,5 portes,FWD,1.5,MHEV,,,,
504,FIAT,DOBLO,,car van,BLUEHDI,manual,4 dr,FWD,1.5,,,100HP,,
505,FIAT,DOBLO,,car van,BLUEHDI,manual,4 dr,FWD,1.5,,,130HP,,
506,FIAT,DOBLO,,car van,BLUEHDI,manual,5 portes,FWD,1.5,,,,75KW,
507,FIAT,DOBLO,,combi,BLUEHDI,automatic,5 portes,FWD,1.5,,,,96KW,
508,FIAT,DOBLO CARGO,BASE,car van,MULTIJET,manual,4 dr,FWD,1.3,,,,70KW,
509,FIAT,DOBLO CARGO,BASE,platform cab,MULTIJET,manual,2 door,FWD,1.3,,,,70KW,
510,FIAT,DOBLO CARGO,BASIC,combi,MULTIJET,manual,5 portes,FWD,1.3,,,,,
511,FIAT,DOBLO CARGO,BASIC,combi,MULTIJET,manual,5 portes,FWD,1.6,,,,74KW,
512,FIAT,DOBLO CARGO,BUSINESS,car van,MULTIJET,manual,4 dr,FWD,1.6,,,,,
513,FIAT,DOBLO CARGO,BUSINESS,car van,CNG,manual,4 dr,FWD,1.4,,,,,
514,FIAT,DOBLO CARGO,PRO LOUNGE,car van,MULTIJET,manual,4 dr,FWD,1.6,,,,,
515,FIAT,DOBLO CARGO,SX,combi,MULTIJET,manual,5 portes,FWD,1.6,,,,88KW,
516,FIAT,DOBLO CARGO,SX,combi,MULTIJET,manual,5 portes,FWD,1.6,,,,88KW,
517,FIAT,DOBLO CARGO,TECNICO,drop side,MULTIJET,manual,2 door,FWD,1.6,,,,,
518,FIAT,DOBLO,EASY,mini MPV,MULTIJET,manual,5 portes,FWD,1.6,,,120HP,,
519,FIAT,DOBLO,EASY,mini MPV,MULTIJET,manual,5 portes,FWD,1.6,,,,70KW,
520,FIAT,DUCATO,,chassis cab,MJT3,automatic,2 door,FWD,2.2,,,,117KW,
521,FIAT,DUCATO,,chassis cab,MULTIJET,automatic,2 door,FWD,2.2,,,,103KW,
522,FIAT,DUCATO,,drop side,MJET,manual,2 door,FWD,2.3,,,,131KW,
523,FIAT,DUCATO,,drop side,MJET,manual,4 dr,FWD,2.3,,,,103KW,
524,FIAT,DUCATO,,panel van,MJET,manual,4 dr,FWD,2.2,,,,103KW,
525,FIAT,DUCATO,,panel van,MJT3,automatic,4 dr,FWD,2.2,,,,130KW,
526,FIAT,DUCATO,,panel van,diesel,automatic,4 dr,FWD,2.2,,,180HP,,
527,FIAT,DUCATO,,panel van,MULTIJET,manual,4 dr,FWD,2.2,,,,88KW,
528,FIAT,DUCATO,,panel van,MJET,manual,4 dr,FWD,2.3,,,,104KW,
529,FIAT,DUCATO,,panel van,MJET,manual,4 dr,FWD,2.3,,,140BHP,,
530,FIAT,DUCATO,,panel van,MJET,manual,4 dr,FWD,2.3,,,,110KW,
531,FIAT,DUCATO,,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,118KW,
532,FIAT,DUCATO,,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,132KW,
533,FIAT,DUCATO,,panel van,electric,automatic,4 dr,FWD,,BEV,47KWH,,22KW,
534,FIAT,DUCATO,,panel van,electric,automatic,4 dr,FWD,,BEV,79KWH,,,
535,FIAT,DUCATO,,panel van,CNG,manual,4 dr,FWD,3.0,,,,100KW,
536,FIAT,DUCATO,,panel van,CNG,manual,4 dr,FWD,3.0,,,136BHP,,
537,FIAT,DUCATO,,panel van,CNG,manual,4 dr,FWD,3.0,,,136BHP,,
538,FIAT,DUCATO,,tipper,diesel,manual,4 dr,FWD,2.2,,,,130KW,
539,FIAT,DUCATO,,tipper,MJET,manual,2 door,FWD,2.3,,,,96KW,
540,FIAT,DUCATO,ALU,drop side,MULTIJET,manual,4 dr,FWD,2.3,,,130BHP,,
541,FIAT,DUCATO,ALU,drop side,MULTIJET,manual,4 dr,FWD,2.3,,,150BHP,,
542,FIAT,DUCATO,BUSI,panel van,MJT3,automatic,4 dr,FWD,2.2,,,,,
543,FIAT,DUCATO,BUSI,parcel van,MJT3,manual,2 door,FWD,2.2,,,,,
544,FIAT,DUCATO,BUSINESS,tipper,MJET,manual,2 door,FWD,2.3,,,,,
545,FIAT,DUCATO,ETECNICO,panel van,electric,automatic,4 dr,FWD,,BEV,47KWH,,11KW,
546,FIAT,DUCATO,EVOLUZIONE,panel van,MJET,manual,4 dr,FWD,2.3,,,,,
547,FIAT,DUCATO,PACK PRO NAV,chassis cab,MULTIJET,manual,2 door,FWD,2.3,,,,,
548,FIAT,DUCATO,PACK PRO NAV,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,,
549,FIAT,DUCATO,PACK TECHNO,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,,
550,FIAT,DUCATO,PACK,chassis cab,GNV,manual,2 door,FWD,3.0,,,,,
551,FIAT,DUCATO,PACK,panel van,diesel,manual,4 dr,FWD,2.2,,,,,
552,FIAT,DUCATO,PACK,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,,
553,FIAT,DUCATO,PACK,window van,MULTIJET,manual,4 dr,FWD,2.3,,,,,
554,FIAT,DUCATO,PRO LOUNGE,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,,
555,FIAT,DUCATO,PRO LOUNGE,panel van,MULTIJET,manual,4 dr,FWD,2.3,,,,,
